ArticleNumber;Category;Gender;Description
1207186;Horloges;Dames;Pulsar dames horloge PH7423X1
1351310;Diversen;Dames;Zilveren enkelband bolletjes Bali
1229831;Horloges;Heren;Regal horloge met een zwarte leren band
1204070;Armbanden;Dames;Zilveren armband closed for ever 5mm
1242436;Ringen;Dames;Zilveren ring met zirkonia
1361624;Kettingen;Dames;Zilveren ketting Swarovski Crystal indicolite
1352277;Trouwringen;Heren;9 K witte trouwring Susannah Heren H63R
1281476;Kettingen;Dames;Zilveren ketting&hanger hart
1185535;Horloges;Heren;Jacques Lemans horloge Liverpool 1-1826
1322454;Oorbellen;Dames;Zilveren oorbellen Grieks
1203981;Kettingen;Dames;Zilveren ketting met venetiaanse schakel 45 cm
1242345;Trouwringen;Dames;9 K rose trouwring dia Pioenroos hart H76R
1256796;Cadeau Sets;Dames;Zilveren set bar met zirkonia
1378932;Cadeau Sets;Dames;Zilveren set ketting&oorbellen met zirkonia
1188080;Vriendschapsringen;Heren;Stalen vriendschapsring Venice heren
1280038;Armbanden;Dames;Zilveren armband griekse schakel 2mm
1276335;Kettingen;Dames;Zilveren ketting&hanger graveerovaal
1283991;Oorbellen;Dames;Zilveren oorbellen gold doortrek bar
1210094;Hangers;Dames;9 karaat hanger hart met opengewerkte hartjes
1209009;Diversen;Dames;Zilverkleurige zonnebril met blauwe glazen
1229067;Oorbellen;Dames;9 Karaat oorbellen glad 15mm
1284728;Hangers;Dames;Zilveren  letterhanger Q
1163988;Oorbellen;Dames;Zilveren oorbellen goldplated rond 5mm
1219284;Trouwringen;Dames;14K witgouden trouwring Klaproos Dames H90W
1230075;Kettingen;Dames;Super Stylish zilveren ketting gold
1365897;Diversen;Dames;Glitter sleutelhanger hart roze
1174931;Oorbellen;Dames;Zilveren oorbellen parels en Swarovski Crystals
1288563;Oorbellen;Dames;Zilveren oorbellen parel zirkonia
1195624;Armbanden;Dames;Zilveren armband turtle
1324498;Ringen;Dames;Witgouden solitair ring met diamant (0,40ct.)
1202191;Service;Unisex;Ring verkleinen (max 1,5mt) >75
1159505;Hangers;Dames;Zilveren hanger kruis
2042755;Armbanden;Kinderen;Geelgouden kinder plaatarmband gourmet
1385300;Kettingen;Dames;Goudkleurige byoux ketting met hanger kruis
1195937;Ringen;Heren;Stalen herenring met zwarte kabel
1210894;Oorbellen;Dames;9 Karaat oorbellen bewerkt ovaal
1248051;Kettingen;Heren;Police Jewelery Flow
1260194;Armbanden;Dames;Zilveren armband goldplated ster
1169246;Oorbellen;Dames;Eve gold plated oorbellen met smaragd & zirkonia
1398426;Oorbellen;Dames;9 Karaat oorknoppen tricolor knoop
1312181;Horloges;Heren;Lorus heren horloge RG841CX9
1277153;Armbanden;Dames;Zilveren armband zwart magneetsluiting 19 cm
1150233;Cadeau Sets;Dames;Zilveren set Bali olifant
1442399;Ringen;Dames;Zilverkleurige byoux ring met munt
1217574;Ringen;Kinderen;Stalen kinderring goldplated wit kristal
1140682;Vriendschapsringen;Dames;Stalen vriendschapsring Marbella dames
1173982;Horloges;Heren;Pulsar stalen heren horloge PS9581X1
1209871;Ringen;Dames;Goudkleurige byoux ring met ruit en steentje
1270335;Armbanden;Dames;Stalen armband dubbele gourmetschakel
1237403;Armbanden;Dames;Stalen armband bol/bar roze kristal
1300640;Horloges;Dames;Colours by Kate horloge met zilverkleurige band
1183818;Horloges;Kinderen;Regal meisjehorloge in een sieradendoosje
1357633;Horloges;Heren;Jacques Lemans horloge N-214B
1303835;Oorbellen;Dames;Stalen oorbellen ringen/bar
1355216;Ringen;Dames;Geelgouden ring  Infinity met diamant
1217312;Oorbellen;Dames;14 Karaat geelgouden oorbellen rond 4mm
1421566;Geschenkartikelen;Unisex;Verzilverd doosje I love you
1228944;Oorbellen;Dames;Zilveren oorbellen druppel Swarovski Crystal
1251121;Oorbellen;Dames;Zilveren oorbellen hart met zirkonia
1368445;Oorbellen;Dames;Zilveren oorbellen druppel Swarovski Crystal
1308424;Ringen;Dames;Witgouden ring met zirkonia
1208669;Diversen;Dames;Zilverkleurige zonnebril koord
1116367;Horloges;Dames;Q&Q horloge VG31J100Y
1149361;Oorbellen;Dames;9 Karaat oorknoppen bol rose 6mm
1289461;Trouwringen;Heren;14 Karaat geelgouden trouwring Kalina Heren H135
1328953;Trouwringen;Dames;14 Karaat geelgouden trouwring Clover Dames H04
1237777;Oorbellen;Dames;Stalen roseplated oorringhangers klaver
1230669;Trouwringen;Dames;14 Karaat geelgouden trouwring Daisy Dames H131
1212427;Horloges;Heren;Lorus stalen heren horloge RXN59DX9
1298070;Ringen;Dames;Bicolor gouden solitair ring met diamant (0.20ct.)
1276261;Kettingen;Dames;Goudkleurige byoux ketting sterrenbeeld tweeling
1373155;Piercings;Dames;Stalen navelpiercing
1421481;Armbanden;Dames;Guess rhodiumplated armband Swarovski kristal
1176595;Horloges;Heren;Q&Q Horloge C192J103Y
